user_id,user_type,registration_date,preferred_spot_type,price_sensitivity,avg_booking_duration_hours
1,commuter,2024-11-20,car,low,8
2,resident,2024-07-30,car,high,12
3,visitor,2024-09-22,car,medium,3
4,shopper,2024-02-27,car,medium,2
5,commuter,2024-02-04,car,low,8
6,commuter,2024-11-16,bike,low,8
7,commuter,2024-10-16,car,low,8
8,resident,2024-08-05,car,high,12
9,shopper,2024-01-29,large,medium,2
10,visitor,2024-02-19,car,medium,3
11,commuter,2024-01-05,car,low,8
12,resident,2024-05-02,large,high,12
13,visitor,2024-04-17,car,medium,3
14,commuter,2024-07-13,large,low,8
15,commuter,2024-09-12,car,low,8
16,commuter,2024-06-11,bike,low,8
17,commuter,2024-09-14,car,low,8
18,shopper,2024-06-13,car,medium,2
19,shopper,2024-10-16,car,medium,2
20,commuter,2024-10-14,bike,low,8
21,shopper,2024-06-09,car,medium,2
22,commuter,2024-07-20,large,low,8
23,commuter,2024-04-11,car,low,8
24,commuter,2024-09-30,large,low,8
25,shopper,2024-10-23,bike,medium,2
26,visitor,2024-07-05,large,medium,3
27,commuter,2024-05-31,large,low,8
28,shopper,2024-08-26,large,medium,2
29,shopper,2024-11-09,car,medium,2
30,commuter,2024-07-07,car,low,8
31,shopper,2024-08-05,car,medium,2
32,commuter,2024-05-22,car,low,8
33,commuter,2024-04-14,car,low,8
34,resident,2024-09-10,car,high,12
35,resident,2024-06-04,car,high,12
36,visitor,2024-07-19,car,medium,3
37,commuter,2024-01-26,car,low,8
38,commuter,2024-03-04,car,low,8
39,visitor,2024-09-10,car,medium,3
40,shopper,2024-05-22,bike,medium,2
41,commuter,2024-01-10,car,low,8
42,shopper,2024-08-12,large,medium,2
43,commuter,2024-11-04,car,low,8
44,resident,2024-11-16,car,high,12
45,commuter,2024-05-11,car,low,8
46,visitor,2024-10-30,car,medium,3
47,commuter,2024-02-16,car,low,8
48,shopper,2024-08-16,car,medium,2
49,shopper,2024-05-14,bike,medium,2
50,commuter,2024-09-20,bike,low,8
51,resident,2024-09-22,car,high,12
52,visitor,2024-02-19,car,medium,3
53,resident,2024-07-21,large,high,12
54,resident,2024-04-27,large,high,12
55,shopper,2024-05-12,large,medium,2
56,resident,2024-08-12,car,high,12
57,commuter,2024-03-17,car,low,8
58,commuter,2024-10-17,bike,low,8
59,commuter,2024-10-07,car,low,8
60,commuter,2024-01-16,car,low,8
61,commuter,2024-04-30,car,low,8
62,commuter,2024-10-31,large,low,8
63,visitor,2024-05-21,bike,medium,3
64,commuter,2024-04-07,large,low,8
65,commuter,2024-07-27,large,low,8
66,shopper,2024-11-27,large,medium,2
67,commuter,2024-03-03,car,low,8
68,visitor,2024-01-09,car,medium,3
